S.No,Symbol
1,20MICRONS.NS
2,21STCENMGM.NS
3,360ONE.NS
4,3BBLACKBIO.NS
5,3IINFOLTD.NS
6,3MINDIA.NS
7,3PLAND.NS
8,5PAISA.NS
9,63MOONS.NS
10,A2ZINFRA.NS
11,AAATECH.NS
12,AADHARHFC.NS
13,AAKASH.NS
14,AAREYDRUGS.NS
15,AARNAV.NS
16,AARON.NS
17,AARTECH.NS
18,AARTIDRUGS.NS
19,AARTIIND.NS
20,AARTIPHARM.NS
21,AARTISURF.NS
22,AARVI.NS
23,AAVAS.NS
24,ABANSENT.NS
25,ABB.NS
26,ABBOTINDIA.NS
27,ABCAPITAL.NS
28,ABCOTS.NS
29,ABDL.NS
30,ABFRL.NS
31,ABINFRA.NS
32,ABLBL.NS
33,ABMINTLLTD.NS
34,ABMKNO.NS
35,ABREL.NS
36,ABSLAMC.NS
37,ACC.NS
38,ACCELYA.NS
39,ACCURACY.NS
40,ACE.NS
41,ACEINTEG.NS
42,ACI.NS
43,ACL.NS
44,ACMESOLAR.NS
45,ACSTECH.NS
46,ACUTAAS.NS
47,ADANIENSOL.NS
48,ADANIENT.NS
49,ADANIGREEN.NS
50,ADANIPORTS.NS
51,ADANIPOWER.NS
52,ADFFOODS.NS
53,ADL.NS
54,ADOR.NS
55,ADROITINFO.NS
56,ADSL.NS
57,ADVAIT.NS
58,ADVANCE.NS
59,ADVANIHOTR.NS
60,ADVENTHTL.NS
61,ADVENZYMES.NS
62,AEGISLOG.NS
63,AEGISVOPAK.NS
64,AEPL.NS
65,AEQUS.NS
66,AEROENTER.NS
67,AEROFLEX.NS
68,AERONEU.NS
69,AETHER.NS
70,AFCONS.NS
71,AFFLE.NS
72,AFFORDABLE.NS
73,AFIL.NS
74,AFSL.NS
75,AGARIND.NS
76,AGARWALEYE.NS
77,AGI.NS
78,AGIIL.NS
79,AGRITECH.NS
80,AGROPHOS.NS
81,AHCL.NS
82,AHLADA.NS
83,AHLEAST.NS
84,AHLUCONT.NS
85,AHLWEST.NS
86,AIAENG.NS
87,AIIL.NS
88,AIRAN.NS
89,AIROLAM.NS
90,AJANTPHARM.NS
91,AJAXENGG.NS
92,AJMERA.NS
93,AJOONI.NS
94,AKASH.NS
95,AKCAPIT.NS
96,AKG.NS
97,AKI.NS
98,AKSHAR.NS
99,AKSHARCHEM.NS
100,AKSHOPTFBR.NS
101,AKUMS.NS
102,ALANKIT.NS
103,ALBERTDAVD.NS
104,ALEMBICLTD.NS
105,ALGOQUANT.NS
106,ALICON.NS
107,ALIVUS.NS
108,ALKALI.NS
109,ALKEM.NS
110,ALKYLAMINE.NS
111,ALLCARGO.NS
112,ALLDIGI.NS
113,ALLTIME.NS
114,ALMONDZ.NS
115,ALOKINDS.NS
116,ALPA.NS
117,ALPHAGEO.NS
118,AMAGI.NS
119,AMANTA.NS
120,AMBALALSA.NS
121,AMBER.NS
122,AMBICAAGAR.NS
123,AMBIKCO.NS
124,AMBUJACEM.NS
125,AMDIND.NS
127,AMJLAND.NS
128,AMNPLST.NS
129,AMRUTANJAN.NS
130,ANANDRATHI.NS
131,ANANTRAJ.NS
132,ANDHRAPAP.NS
133,ANDHRSUGAR.NS
134,ANGELONE.NS
135,ANIKINDS.NS
136,ANKITMETAL.NS
137,ANMOL.NS
138,ANSALAPI.NS
139,ANTELOPUS.NS
140,ANTGRAPHIC.NS
141,ANTHEM.NS
142,ANUHPHR.NS
143,ANUP.NS
144,ANURAS.NS
145,APARINDS.NS
146,APCL.NS
147,APCOTEXIND.NS
148,APEX.NS
149,APLAPOLLO.NS
150,APLLTD.NS
151,APOLLO.NS
152,APOLLOHOSP.NS
153,APOLLOPIPE.NS
154,APOLLOTYRE.NS
155,APOLSINHOT.NS
156,APTECHT.NS
157,APTUS.NS
158,AQYLON.NS
159,ARCHIDPLY.NS
160,ARCHIES.NS
161,ARE&M.NS
162,ARENTERP.NS
163,ARFIN.NS
164,ARIES.NS
165,ARIHANT.NS
166,ARIHANTCAP.NS
167,ARIHANTSUP.NS
168,ARIS.NS
169,ARKADE.NS
170,ARMANFIN.NS
171,AROGRANITE.NS
172,ARROWGREEN.NS
173,ARSHIYA.NS
174,ARSSBL.NS
175,ARTEMISMED.NS
176,ARTNIRMAN.NS
177,ARVEE.NS
178,ARVIND.NS
179,ARVINDFASN.NS
180,ARVSMART.NS
181,ASAHIINDIA.NS
182,ASAHISONG.NS
183,ASAL.NS
184,ASALCBR.NS
185,ASHAPURMIN.NS
186,ASHIANA.NS
188,ASHIMASYN.NS
189,ASHOKA.NS
190,ASHOKAMET.NS
191,ASHOKLEY.NS
192,ASIANENE.NS
193,ASIANHOTNR.NS
194,ASIANPAINT.NS
195,ASIANTILES.NS
196,ASKAUTOLTD.NS
197,ASMS.NS
198,ASPINWALL.NS
199,ASTAR.NS
200,ASTEC.NS
201,ASTERDM.NS
202,ASTRAL.NS
203,ASTRAMICRO.NS
204,ASTRAZEN.NS
205,ASTRON.NS
206,ATALREAL.NS
207,ATAM.NS
208,ATGL.NS
209,ATHERENERG.NS
210,ATL.NS
211,ATLANTAA.NS
212,ATLANTAELE.NS
213,ATLASCYCLE.NS
214,ATUL.NS
215,ATULAUTO.NS
216,AUBANK.NS
218,AURIONPRO.NS
219,AUROPHARMA.NS
220,AURUM.NS
221,AUSOMENT.NS
222,AUTOAXLES.NS
223,AUTOIND.NS
224,AVADHSUGAR.NS
225,AVALON.NS
226,AVANTEL.NS
227,AVANTIFEED.NS
228,AVG.NS
229,AVL.NS
230,AVONMORE.NS
231,AVROIND.NS
232,AVTNPL.NS
233,AWFIS.NS
234,AWHCL.NS
235,AWL.NS
236,AXISBANK.NS
237,AXISCADES.NS
238,AXITA.NS
239,AYE.NS
240,AYMSYNTEX.NS
241,AZAD.NS
242,BAFNAPH.NS
243,BAGFILMS.NS
244,BAIDFIN.NS
245,BAJAJ-AUTO.NS
246,BAJAJCON.NS
247,BAJAJELEC.NS
248,BAJAJFINSV.NS
249,BAJAJHCARE.NS
250,BAJAJHFL.NS
251,BAJAJHIND.NS
252,BAJAJHLDNG.NS
253,BAJAJINDEF.NS
254,BAJAJST.NS
255,BAJEL.NS
256,BAJFINANCE.NS
257,BALAJEE.NS
258,BALAJITELE.NS
259,BALAMINES.NS
260,BALAXI.NS
261,BALKRISHNA.NS
262,BALKRISIND.NS
263,BALMLAWRIE.NS
264,BALPHARMA.NS
265,BALRAMCHIN.NS
266,BALUFORGE.NS
267,BANARBEADS.NS
268,BANARISUG.NS
269,BANCOINDIA.NS
270,BANDHANBNK.NS
271,BANG.NS
272,BANKA.NS
273,BANKBARODA.NS
274,BANKINDIA.NS
275,BANSALWIRE.NS
276,BANSWRAS.NS
277,BASF.NS
278,BASML.NS
279,BATAINDIA.NS
280,BATLIBOI.NS
281,BAYERCROP.NS
282,BBL.NS
283,BBOX.NS
284,BBTC.NS
285,BBTCL.NS
286,BCG.NS
287,BCLIND.NS
288,BCONCEPTS.NS
289,BCPL.NS
290,BDL.NS
291,BEARDSELL.NS
292,BECTORFOOD.NS
293,BEDMUTHA.NS
294,BEEKAY.NS
295,BEL.NS
296,BELLACASA.NS
297,BELRISE.NS
298,BEML.NS
299,BENGALASM.NS
300,BEPL.NS
301,BERGEPAINT.NS
302,BESTAGRO.NS
303,BETA.NS
304,BFINVEST.NS
305,BFUTILITIE.NS
306,BGRENERGY.NS
307,BHAGCHEM.NS
308,BHAGERIA.NS
309,BHAGYANGR.NS
310,BHANDARI.NS
311,BHARATCOAL.NS
312,BHARATFORG.NS
313,BHARATGEAR.NS
314,BHARATRAS.NS
315,BHARATSE.NS
316,BHARATWIRE.NS
317,BHARTIARTL.NS
318,BHARTIHEXA.NS
319,BHEL.NS
320,BI.NS
321,BIGBLOC.NS
322,BIKAJI.NS
323,BIL.NS
324,BILVYAPAR.NS
325,BIMETAL.NS
326,BIOCON.NS
327,BIOFILCHEM.NS
328,BIRLACABLE.NS
329,BIRLACORPN.NS
330,BIRLAMONEY.NS
331,BIRLANU.NS
332,BIRLAPREC.NS
333,BLACKBUCK.NS
334,BLACKROSE.NS
335,BLAL.NS
336,BLBLIMITED.NS
337,BLIL.NS
338,BLISSGVS.NS
339,BLKASHYAP.NS
340,BLS.NS
341,BLSE.NS
342,BLUECOAST.NS
343,BLUEDART.NS
344,BLUEJET.NS
345,BLUESTARCO.NS
346,BLUESTONE.NS
347,BLUSPRING.NS
348,BMWVENTLTD.NS
349,BNAGROCHEM.NS
350,BNALTD.NS
351,BODALCHEM.NS
352,BOHRAIND.NS
353,BOMDYEING.NS
354,BONLON.NS
355,BORANA.NS
