S.No,Symbol
1,INFY.NS
2,RELIANCE.NS
3,BHARTIARTL.NS
4,TCS.NS
5,HDFCBANK.NS
6,NIACL.NS
7,LENSKART.NS
8,GROWW.NS
9,IFCI.NS
10,TATACAP.NS
11,TARIL.NS
12,AMBER.NS
13,ICICIAMC.NS
14,LGEINDIA.NS
15,BAJFINANCE.NS
16,NETWEB.NS
17,MEESHO.NS
18,ICICIBANK.NS
19,COFORGE.NS
20,HCLTECH.NS
21,ADANIENT.NS
22,TEJASNET.NS
23,ADANIPOWER.NS
24,M&M.NS
25,MARUTI.NS
26,HSCL.NS
27,SBIN.NS
28,BHEL.NS
29,ZEEL.NS
30,SUZLON.NS
31,TECHM.NS
32,BSE.NS
33,ADANIPORTS.NS
34,TRENT.NS
35,PINELABS.NS
36,ETERNAL.NS
37,DATAPATTNS.NS
38,BAJAJ-AUTO.NS
39,MCX.NS
40,PERSISTENT.NS
41,KOTAKBANK.NS
42,GVT&D.NS
43,WIPRO.NS
44,NTPC.NS
45,DIXON.NS
46,REDINGTON.NS
47,AXISBANK.NS
48,TATASTEEL.NS
49,IDEA.NS
50,OLECTRA.NS
51,INDUSINDBK.NS
52,HINDALCO.NS
53,DMART.NS
54,WAAREEENER.NS
55,LT.NS
56,HFCL.NS
57,JIOFIN.NS
58,INDIGO.NS
59,LICI.NS
60,EICHERMOT.NS
61,SOLARINDS.NS
62,VBL.NS
64,POONAWALLA.NS
65,BDL.NS
66,POLYCAB.NS
67,BEL.NS
68,ULTRACEMCO.NS
69,OLAELEC.NS
70,VEDL.NS
71,ADANIGREEN.NS
72,SAMMAANCAP.NS
73,PIRAMALFIN.NS
74,TMPV.NS
75,BERGEPAINT.NS
76,POWERINDIA.NS
77,ABCAPITAL.NS
78,CDSL.NS
79,JYOTICNC.NS
80,TITAN.NS
81,TENNIND.NS
82,NYKAA.NS
83,ITC.NS
84,SUNPHARMA.NS
85,GRSE.NS
86,ADANIENSOL.NS
87,JBMA.NS
88,HDBFS.NS
89,ITCHOTELS.NS
90,AUROPHARMA.NS
91,CGPOWER.NS
92,HAL.NS
93,RBLBANK.NS
94,SAIL.NS
95,LTM.NS
97,BHARATFORG.NS
98,BPCL.NS
99,MUTHOOTFIN.NS
100,YESBANK.NS
101,PAGEIND.NS
